Tittel,Opphav,Målgruppe,Type,Fase,Årstid,Dager,Tid,Beskrivelse,Verdi for brukerne,Verdi for organisasjonene,Hva må være på plass,Hvor starter vi,ImageURL,pdfURL
Utleieordningen,Så og si alle,Alle / Kommersielle aktører,"Fasilietet, Tjeneste",Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Utleieordningen gjør det mulig for både privatpersoner, organisasjoner og kommersielle aktører å leie ulike rom i bygget – fra saler og møterom til verksteder og foajéer. Ordningen inkluderer muligheter for servering, teknisk støtte og skreddersydde oppsett for alt fra styremøter og foredrag til selskaper og større arrangementer. Ved å etablere langsiktige leieavtaler med utvalgte aktører kan huset sikre stabile inntekter og få tidlig avklaring på behov knyttet til tilrettelegging, kapasitet og logistikk. Samtidig holdes enkelte rom åpne for kortere, fleksible leieforhold som gir bredt brukermangfold.",Tilgjengelige og profesjonelle lokaler som kan tilpasses ulike behov og budsjetter.,Gir forutsigbare inntekter og økt aktivitet gjennom dagen og uken.,"Digital booking, prislister, vertskap, kapasitetsoverblikk og servicerutiner.",Start med et fast sett rom og pilotér utleie til et begrenset antall eksterne aktører.,utleieordningen.png,utleieordningen.pdf
Lag en utstilling,Ansattintervjuer,Barn og unge,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår",Helg,Dag,"Arrangementet er tenkt som et generelt format rundt læring om, og deltakelse i å skape utstillinger. Både planlegging av tema, innhenting og laging av materiell, kuratering og montering, samt arrangering. Innenfor alt arbeidet som går inn i å lage en utstilling utgjør dette derfor et format som åpner for mange spennende vinklinger. Kan kurateringen aktiviseres gjennom at scenografer er til stede? Kan arrangeringen gjøres med et tilsnitt av performance? 

Med utstilling som en sentral virksomhet i det nye teater- og museumsbygget, vil formatet kunne åpne for en spennende innføring i hvordan kulturproduksjonen fungerer i praksis, og skape dypere nysgjerrighet.","Erfaring i utstillingsdesign, attraktivt arrangement, pedagogikk og læring om virksomhetene på bygget.","Utstillinger tett forankret i innbyggernes idéer og fantasi, samskaping i praksis rundt programmering av rom.",Kan gjøres i ledige rom innendørs eller utendørs i dag. Mittrommet i det ferdige bygget kan gjøres godt tilrettelagt for en slik aktivitet.,"En lavterskel innbyggerworkshop (gjerne med en bestemt målgruppe som barn eller studenter). Kan gjøres i to økter der første økt er planleggingen, og andre økt er konstruksjon og opprigg.",lagenutstilling.png,lagenutstilling.pdf
Målgruppe som lim,Styret,Ansatte MS/RT / valgt målgruppe,"Arrangement, Tjeneste",Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Målgruppe som lim er et samskapende konsept der ansatte fra museet og teateret setter av dedikert produksjonstid til å utvikle innhold sammen med en valgt målgruppe. Det kan være barn, ungdom, eldre, minoritetsgrupper eller spesifikke brukerfellesskap. Konseptet handler om å flytte fokus fra institusjonenes behov til publikums perspektiver, erfaringer og ønsker. Gjennom workshops, idéutvikling, prototyping og kreative prosesser får deltakerne forme opplevelser, arrangementer eller formidlingsgrep som angår dem direkte. Målet er å bygge tilbud som oppleves relevante, inkluderende og forankret i faktisk brukerinnsikt – ikke antakelser.","Gir reell medvirkning, eierskap og opplevelser tilpasset deres interesser og behov.","Gir dypere innsikt, styrker målgruppeforståelse og skaper mer treffsikre tilbud.","Tidsavsatte prosesser, fasilitatorer, egnet rom og en tydelig definert målgruppe.",Velg én målgruppe og gjennomfør en kort samskapingsworkshop som pilot.,målgruppesomlim.png,målgruppesomlim.pdf
Kursdager,Styret,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Kursdager er tidsavgrensede perioder der både teateret og museet fylles med et tett program av kurs og workshops for alle aldre. Konseptet samler et bredt spekter av fagfelt – fra skuespill, improvisasjon, scenekunst og kostymedesign til naturhistorie, fossil- og geologikurs, håndverk, økologi og tverrfaglige løp som kombinerer kunst og vitenskap. Deltakerne kan velge enkeltdager eller helgepakker, og bygget forvandles til et levende læringshus der publikum får prøve praktiske aktiviteter, møte fagfolk og utforske nye interesser. Kursdager skaper et pulserende, mangfoldig og kompetansebyggende tilbud i begge bygg.","Gir et bredt, inspirerende og praktisk læringstilbud for alle aldersgrupper.","Styrker kompetanseformidling, øker aktivitet i bygget og gir inntektsmuligheter.","Fagpersoner, romoppsett, kursplan, materiell og tydelig påmelding.",Definer kurskategorier og gjennomfør en pilotuke med et lite utvalg kurs.,kursdager.png,kursdager.pdf
Etterklubb,Intervju med seniorer,Alle,"Arrangement, Tjeneste",Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Etterklubb er en uformell samtaleordning som finner sted etter en forestilling eller et museumsbesøk, med særlig appell til seniorer og andre spesielt interesserte. Deltakerne samles i et komfortabelt fellesareal for å dele refleksjoner, stille spørsmål og utdype opplevelser i trygge og rolige omgivelser. Samtalen kan ledes av en fagperson, en ansatt eller en erfaren frivillig, og tar gjerne utgangspunkt i dagens tema, utstilling eller forestilling. Etterklubb skaper rom for fordypning, sosialt fellesskap og meningsutveksling – og gir publikum en mulighet til å forlenge og bearbeide kulturmøtet på en mer personlig måte.","Gir rom for refleksjon, sosialt fellesskap og fordypning etter opplevelsen.",Styrker publikumsrelasjoner og forankrer innholdet gjennom samtale og dialog.,"Vertskap, et passende samtalerom og en kort temaramme for møtene.",Test én etterklubb etter en aktuell forestilling eller utstilling og evaluer responsen.,etterklubb.png,etterklubb.pdf
“Hva så du?”,Kultursjefen,Alle,"Fasilietet, Tjeneste",Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"“Hva så du?” er en enkel, åpen plattform der publikum kan dele tanker, reaksjoner og små observasjoner etter en opplevelse i museet eller teateret. Installasjonen kan bestå av kort, lapper, digitale skjermer eller en interaktiv vegg der besøkende skriver eller legger igjen korte refleksjoner. Konseptet gir rom for umiddelbare inntrykk, personlige tolkninger og spontane kommentarer som sammen danner et mangfoldig bilde av publikums respons. Over tid skapes et levende arkiv av stemmer, som kan inspirere andre besøkende, gi ansatte innsikt i publikums opplevelser og gjøre refleksjon til en naturlig del av besøket.",Gir et lavterskel sted å uttrykke tanker og lese andres inntrykk.,Gir løpende publikumstilbakemeldinger og styrker følelsen av deltakelse.,"En tydelig installasjon, enkle skrivemuligheter og et system for vedlikehold.",Sett opp en testvegg med kort og vurder respons og bruksmønster.,hvasådu.png,hvasådu_.pdf
Heldagsskolen,Matchmaking,Barn og unge,Tjeneste,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Heldagsskolen er et undervisningsopplegg som lar skoleklasser gjennomføre en hel skoledag fordelt mellom teateret og museet. Elevene får oppleve hvordan kunst, kultur og naturfag kan utfylle hverandre gjennom praktiske aktiviteter, refleksjon og faglig fordypning. Dagen kan starte med en drama- eller scenekunstworkshop der elevene jobber med uttrykk, samarbeid, improvisasjon eller fortelling, før de flyttes til museet for temabasert undervisning knyttet til naturhistorie, kulturhistorie eller vitenskap. Konseptet skaper variasjon i skolehverdagen, gir lærerne et ferdig tilrettelagt opplegg og gir elevene en helhetlig dag der teori og praksis styrker hverandre.","Gir elevene en variert og engasjerende læringsdag som kombinerer fysisk aktivitet, kreativitet og fagkunnskap.",Styrker relasjonen til skolene og skaper jevn aktivitet på dagtid.,"Planlagt dagsløp, undervisere, romkapasitet og koordinering mellom fagoppleggene.",Utvikle én pilotdag for et trinn på barneskolen og teste med én klasse.,heldagsskolen.png,heldagsskolen.pdf
Åpen scene,Kommersiell workshop,Kulturinteresserte / Ungdom,Tjeneste,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Åpen scene er et lavterskeltilbud der amatører, unge kunstnere og kulturinteresserte får muligheten til å stå på scenen i et profesjonelt, men uformelt miljø. Konseptet kan romme alt fra musikk, spoken word og stand-up til dans, teaterutdrag, opplesninger eller visuelle presentasjoner. Arrangeringen gir lokale talenter en trygg arena for å teste nytt materiale, møte andre utøvere og bygge erfaring foran publikum. Samtidig blir huset fylt av variert og uforutsigbar kunstnerisk aktivitet, som skaper en levende og inkluderende atmosfære der publikum kan oppdage nye uttrykk og heie fram morgendagens stemmer.","Gir en åpen og inkluderende scene for uttrykk, mestring og publikumskontakt.","Skaper aktivitet, tiltrekker unge utøvere og styrker huset som kulturelt samlingspunkt.","Lyd/lys-rigg, vertskap, påmeldingsrutiner og et fleksibelt scenerom.",Sett en fast kveld i måneden og åpne for enkel påmelding.,apenscene.png,apenscene.pdf
Åpne verksteder,Kommersiell workshop,Alle,Tjeneste,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Åpne verksteder er et praktisk læringstilbud der publikum får utforske ulike håndverkstradisjoner gjennom veiledede aktiviteter. Verkstedene kan inkludere trearbeid, keramikk, veving, tekstil, reparasjon eller andre fagområder som kombinerer tradisjonelle teknikker med moderne formidling. Deltakerne får jobbe med ekte materialer, verktøy og prosesser, samtidig som de lærer om håndverkets historie, metoder og bruk i hverdagen. Konseptet passer for både familier, voksne og barn, og gir en rolig, fordypende og sosial opplevelse der man kan skape noe konkret og ta med seg et ferdig resultat hjem.","Gir praktisk læring, mestring og en sosial arena for å prøve tradisjonelt håndverk.",Skaper kontinuerlig aktivitet og styrker bygget som lærings- og kulturarena.,"Instruktører, materialer, verktøy, tydelige sikkerhetsrutiner og egnet verkstedsrom.",Velg én håndverkstradisjon og etabler et ukentlig introduksjonsverksted som pilot.,åpneverksteder.png,apneverksteder.pdf
Dine fine ting,Comte Bureau,Seniorer / Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Dine fine ting er en utstilling bygget opp av gjenstander lånt fra innbyggerne i Stavanger og Rogaland – alt fra personlige minner og nedarvede eiendeler til hverdagsobjekter med historisk eller emosjonell verdi. Hver gjenstand ledsages av små fortellinger, anekdoter og refleksjoner fra dem som eier den. Konseptet skaper et nært og mangfoldig bilde av regionens liv, erfaringer og identitet, og gir publikum mulighet til å se sin egen og andres historie representert i utstillingen. Utstillingen kan også kobles til sceniske innslag eller fortellerkvelder som utvider fortellingene.","Gir eierskap, gjenkjennelse og et sterkt personlig møte med fellesskapets historier.","Skaper lokal forankring og engasjement, og fyller utstillingene med relevante, ekte fortellinger.","Innleveringsordning, kuratering, sikker lagring og tydelig formidlingsoppsett.",Åpne for gjenstandsinnsendelser med en enkel kampanje og velg første utvalg historier.,dinefineting.png,dinefineting.pdf
Takeover,Canoe,Kunstmiljøer / Ungdommer,"Arrangement, Tjeneste",Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«Takeover» snur maktbalansen på hodet og overlater styringen til byens kreative understrømmer. I en begrenset periode, for eksempel om sommeren, får studenter, det frie feltet og ungdomsmiljøer «nøklene» til bygget. De inviteres til å kuratere, drifte og fylle teateret og museet med eget innhold, fra eksperimentell scenekunst til alternative utstillinger. Dette forvandler passive lokaler til et aktivt laboratorium for fremtidens kulturhus. Gjennom å la andre styre skuta, høster institusjonene konkrete visjoner for hva de nye lokalene kan romme, samtidig som huset syder av liv i perioder som ellers ville vært stille.",En unik tilgang til profesjonelle arenaer og reell innflytelse til å definere hva kulturhuset skal være for dem.,"Nye perspektiver utenfra, utprøving av nye bruksområder, og verdifull aktivitet i ""døde"" perioder som fellesferien.","En tøff tillitserklæring i bunn, klare HMS-rammer, og en infrastruktur som tåler uventet bruk uten konstant tilsyn av fast stab.",En pilotuke i «Mellomtid» hvor en utvalgt partner (f.eks. Kunstskolen eller et fritt teaterkompani) får disponere foajeen eller Black Box fritt.,takeover.png,takeover.pdf
Abonnement,Styret,Alle,Arrangement,Mellomtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Abonnement er en ordning der publikum kan kjøpe fast tilgang til teater- og museumstilbud gjennom en samlet medlemsløsning. Abonnenter kan få inngang til forestillinger, utstillinger, spesialarrangementer, rabatter, tidlig tilgang til billetter eller eksklusive nyhetsbrev. Modellen kan utformes i ulike nivåer – fra rimelige hverdagsabonnement for studenter og barnefamilier, til utvidede pakker for kulturentusiaster som ønsker å delta hyppigere. Ordningen gjør kulturtilbudet mer forutsigbart og tilgjengelig, samtidig som det skaper lojalitet og gir brukerne en følelse av å være del av et større fellesskap.","Gir enkel tilgang, forutsigbar pris og en følelse av medlemskap og tilhørighet.","Stabil inntekt, sterkere publikumslojalitet og bedre planlegging.","Digital løsning for abonnement, prismodell, fordeler og tydelig kommunikasjon.",Test én abonnementsvariant mot en definert målgruppe i en pilotperiode.,abonnement.png,abonnement.pdf
Én billett,Styret,Alle,Tjeneste,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Én billett er en felles billettløsning som gir publikum tilgang til både teater- og museumstilbud gjennom ett kjøp. Ordningen kan fungere på ulike nivåer: en kombinert billett som gjelder for to konkrete arrangementer med felles tematikk, en rabattmodell der kjøp på én arena gir fordeler på den andre, eller en fast “to-i-ett”-billett som tilbys i utvalgte perioder. Konseptet senker terskelen for å utforske flere kulturtilbud, skaper naturlige overgangspunkter mellom husene og gjør det enkelt for publikum å få mer ut av besøket sitt – uten flere separate kjøpsprosesser.","Gir enkelhet, bedre pris og en mer helhetlig kulturopplevelse.","Øker besøk, bygger publikum på tvers og skaper synergier mellom tilbudene.","Felles billetteringsstruktur, tydelig prislogikk og koordinert markedsføring.",Piloter en kombinasjonsbillett for to arrangementer med tematisk sammenheng.,énbillett.png,enbillett.pdf
Besøksdate,Speed-dating,Studenter,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Besøksdate er et sosialt konsept der studenter kan melde seg på et organisert museums- eller utstillingsbesøk sammen med en tilfeldig matchet deltaker. Opplegget fungerer som en lavterskel “speed-dating light” som gir deltakerne en uformell, trygg og morsom ramme rundt det å møte nye mennesker. Paret får rabatterte billetter og et enkelt oppdrag eller samtaletema de kan bruke som isbryter under besøket. Konseptet gir en sosial inngang til kulturtilbudet og gjør utstillingsbesøk mer tilgjengelig for unge voksne som ønsker nye impulser – enten de ser etter vennskap, nettverk eller noe mer.",Skaper en trygg og uformell sosial arena med lav terskel for å møte nye mennesker.,Tiltrekker yngre målgrupper og øker besøksfrekvensen på utvalgte dager.,"Påmeldingssystem, matchingsrutiner og en enkel rabattordning.",Test en månedlig besøksdate knyttet til én utstilling.,besoksdate.png,Besoksdate.pdf
Kulturkaffekort,Comte Bureau,Alle,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Kulturkaffekort er et enkelt lojalitetsprogram knyttet til kaféen i det nye bygget. For hver kjøpte kaffe får gjesten ett klipp, og etter ti klipp får man ikke en gratis kaffe – men en gratis kulturopplevelse, enten en utstilling, en omvisning eller en billett til utvalgte arrangementer. Ordningen belønner jevnlige besøk og gjør kaféen til en naturlig inngangsport til resten av huset. Kortet kan også brukes til å inspirere nye målgrupper til å prøve noe de ellers ikke ville valgt, og styrker koblingen mellom hverdagsbruk og kulturopplevelser.",Gir en hyggelig bonus for vanlige kafébesøk og senker terskelen for kulturopplevelser.,Skaper økt trafikk i kaféen og styrker tilstrømningen til husets øvrige tilbud.,"Fysiske eller digitale klippekort, definerte belønninger og enkel registrering i kaféen.",Start med et fysisk klippekort og én fast gratisopplevelse som premie.,kulturkaffekort.png,kulturkaffekort.pdf
Opplevelsesartefakt,Comte Bureau / Rogaland Teater,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Opplevelsesartefakt er et alternativ til tradisjonelle informasjonsark ved museums- og teaterbesøk. I stedet for tekstbasert formidling får publikum et fysisk objekt – et lite “verktøy”, symbol eller gjenstand – som ledsager dem gjennom opplevelsen. Artefaktet kan aktivere sanser, trigge nysgjerrighet, gi små oppdrag eller fungere som et tolkningsnøkkel som åpner for nye måter å se utstillingen eller forestillingen på. Det gjør formidlingen mer taktil, leken og personlig, og gjør at publikum kan ta med seg noe konkret hjem som bærer videre refleksjonen etter besøket.",Gir en mer sanselig og engasjerende inngang til opplevelsen.,Styrker formidlingen og skaper mer minneverdige og delbare besøk.,"Utforming, produksjon og enkle instruksjoner knyttet til hvert artefakt.",Lag én prototype-serie til én utstilling og test med et lite publikum.,opplevelsesartefakt.png,opplevelsesartefakt.pdf
Omvisninger,Speed-dating,Alle,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Omvisninger i det nye bygget gir publikum mulighet til å bli kjent med både teateret og museet gjennom en guided opplevelse som viser frem arkitektur, arbeidsprosesser, samlinger og scenerom. Konseptet kan organiseres som faste daglige runder, tematiske omvisninger eller spesialomvisninger som går bak kulissene, inn i verksteder, magasiner eller prøvearealer. Dette gir publikum et sjeldent innblikk i hvordan husene jobber, og skaper en sterkere forståelse for alt som ligger bak forestillinger, utstillinger og drift. Omvisningene kan tilpasses ulike målgrupper – fra skoleklasser til seniorklubber og turister.","Gir innsikt, nærhet og et unikt blikk inn i rom de ellers ikke får se.","Styrker publikumsforståelse, bygger relasjon og skaper aktivitet gjennom hele dagen.","Rutiner, omvisere, ruter og tilgjengelige rom som kan vises trygt.",Lag én felles omvisning med fast ukentlig tidspunkt som pilot.,omvisninger.png,omvisninger.pdf
Årskort,Speed-dating,Alle,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Årskortet fungerer som en felles inngangsnøkkel til både teateret og museet gjennom et helt kalenderår. Kortet kan gi fri inngang til utstillinger, rabatter på forestillinger, spesialarrangementer, omvisninger og utvalgte opplevelser. Med ett kort blir terskelen lavere for å bruke bygget jevnlig, og publikum får et enkelt og fleksibelt forhold til kulturtilbudet. Årskortet kan også ha ulike nivåer – fra basis til premium – som åpner for ulike grader av fordeler. Dette skaper lojalitet, gir mer forutsigbar trafikk og gjør kulturhuset til en del av publikums hverdagsrutiner.","Gir ubegrenset tilgang, enkelhet og god valuta for pengene.",Bygger langsiktig publikumslojalitet og gir stabile inntekter.,"Digital kortløsning, prisstruktur, fordelspakker og informasjonsflyt.","Lanser et felles basisårskort med en tydelig, enkel fordelspakke.",årskort.png,arskort.pdf
المعلومات الثقافية,Samtale med Nye i Norge,Nye i Norge,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Dette konseptet tetter informasjonsgapet mellom kulturinstitusjonene og byens flerkulturelle befolkning. Mange nye i Norge ønsker å delta, men opplever at språklige barrierer og ukjente markedsføringskanaler står i veien. Gjennom digitale informasjonskiosker, trykksaker og skilting på språk som arabisk, polsk og somali, gjøres innholdet tilgjengelig og forståelig. Dette er mer enn praktisk oversettelse; det er en tydelig invitasjon som signaliserer at «her er du velkommen». Løsningen sikrer at invitasjonen til utstillinger og forestillinger faktisk når frem til, og forstås av, målgrupper som ellers faller utenfor.",Sikrer demokratisk tilgang til informasjon og skaper en følelse av reell inkludering og trygghet.,"Åpner døren for et stort, uutnyttet publikumssegment og styrker institusjonens samfunnsrolle.","Dedikerte ressurser til oversettelse, digitale berøringsskjermer og flerspråklig markedsmateriell.",Produser en enkel «Velkommen hit»-brosjyre på de tre største minoritetsspråkene i regionen.,,arabisk.pdf
Alt skal lekes med,Workshop med barn / Ungdomsworkshop,Barn og unge,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Alt skal lekes med handler om å se hele bygget som en aktiv arena for utforsking, lek og kroppslig erfaring – ikke bare dedikerte lekerom. Barn leker uansett hvor de er, så konseptet legger opp til at både teater- og museumsområder har elementer som inviterer til kreativ, trygg og naturlig lek. Det kan være klatreelementer, små skjulesteder, taktile installasjoner, bevegelige objekter eller tematiske soner knyttet til forestillinger og utstillinger. Målet er et bygg der lek skjer uanstrengt og intuitivt, uten at det går på bekostning av ro, flyt eller oversikt for de voksne.","Gir barn frihet til å utforske, bruke kroppen og leke på egne premisser.","Skaper en levende, barnevennlig atmosfære og øker attraktiviteten for familier.","Trygge materialer, tydelige soner, sikkerhetstesting og universell utforming.","Definer én hovedsone for lek + små, integrerte lekeelementer i publikumsarealer.",altskallekesmed.png,altskallekesmed.pdf
Zipline,Workshop med barn,Barn og unge,Fasilitet,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Ziplines har i nyere tid blitt en populær aktivitet å finne både i byer og i aktivitetsparker. Det kan hovedsaklig skilles mellom to former for ziplines: større ziplines som krever bemanning og sikring, og gjerne også billettkjøp ved bruk. Mindre ziplines har blitt vanligere å se på lekeplasser, og består gjerne av en kort linje uten sikring og med mindre helning (derav mindre hastighet). Fordelen med zipline er at det er en attraktiv lekeinstallasjon for både voksne og barn. 

I et nytt Teater- og musemsbygg kan en zipline ha en tilknytning til organisasjonenes virksomhet, for eksempel at det skal gi publikummet en opplevelse av å fly fra et kontinent til et annet, slik som trekkfuglene. Det kan også konstrueres med baktanke om å brukes i utendørsforestillinger som et multifunksjonelt oppsett.",,"Lavterskel, gratis aktivitet som omkranser bygget tiltrekker familier på dagtid, som øker tilknytning og kjennskap til bygget, samt sannsynligheten for besøk på bygget.","Gode, fleksible utearealer med plass til større lekapparater der barn kan oppholde seg med voksne til stede rundt.","Avklar uteområdene til det nye bygget, og sett av nok plass til lekefasiliteter for barn og unge.",zipline.png,zipline.pdf
Spill deg inn,Workshop med barn,Barn og unge / Ungdom,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Spill deg inn handler om å etablere et gaming-rom eller en gaming-hub som en integrert del av bygget. Rommet tiltrekker unge brukere på deres egne premisser og kan fungere som en sosial møteplass hvor spill, digital kultur og hengekultur kombineres. Huben kan brukes til turneringer, LAN-kvelder, kreative workshops, spilldesign-introduksjoner eller bare uformell gaming i trygge rammer. Ved å åpne dørene for digitale uttrykk skaper bygget en naturlig inngang til resten av tilbudet – en måte å møte ungdom der de allerede er, og bygge bro videre inn til teater, utstillinger og arrangementer.","Gir et trygt, attraktivt og sosialt rom for ungdom der de kan møtes på egne premisser.","Skaper jevn trafikk, knytter unge tettere til huset og styrker relevansen i samtiden.","Utstyr, spillmaskiner, moderering, lydsoner og tydelige brukskriterier.",Sett opp en midlertidig gaming-sone og test med drop-in-kvelder.,spilldeginn.png,spilldeginn.pdf
Kulturvaluta,Workshop med barn,Barn og unge,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Kulturvaluta er en lekende økonomi for barn i bygget, der de får utdelt eller tjener “kulturpenger” som kan brukes på ulike aktiviteter og opplevelser. Valutaen kan komme fra en egen myntmaskin, gjennom små oppdrag, deltakelse i verksteder, løste mysterier eller engasjement i huset. Pengene kan deretter brukes på alt fra miniatyroppgaver og kreative stasjoner til små premier, interaktive installasjoner eller tematiske soner. Konseptet gir barn en tydelig rolle i bygget og gjør besøket mer engasjerende, samtidig som det skaper naturlige insentiver til å utforske flere rom og aktiviteter.","Skaper mestring, motivasjon og lek gjennom et tydelig og morsomt system.",Øker gjennomstrømning og engasjement i ulike aktiviteter på tvers av huset.,"Valuta-design, “inntjeningspunkter”, bruksmuligheter og enkel drift av myntmaskin.",Lag en pilot med én myntmaskin og tre steder der valutaen kan brukes.,kulturvaluta.png,kulturvaluta.pdf
Kostymerommet,Intervju med seniorer,Barn og unge,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Kostymerommet er et dedikert rom fylt med kostymer fra ulike forestillinger og historiske epoker, der barn og unge kan kle seg opp før de går videre inn i teater- eller museumsopplevelser. Rommet fungerer som en leken forberedelse og en inngang til historiene som venter – en måte å trå inn i en rolle, identitet eller tidsepoke. Det åpner for fantasi, sosial lek og fotografering, og kan også knyttes til formidlingsopplegg, miniscener, små oppdrag eller familiesamlinger. Kostymerommet gjør besøket mer engasjerende og gir en tydelig overgang fra hverdagsmodus til kulturopplevelse.","Gir lek, utforskning og en konkret måte å “tre inn” i opplevelsen.",Styrker publikumsopplevelsen og øker attraktiviteten for familier og barnegrupper.,"Kostymer, oppbevaring, personaltilsyn og enkle regler for bruk.",Start med et utvalg allsidige kostymer og test i helger og ferier.,kostymerommet.png,kostymerommet.pdf
Dramahistorisk mathall,Kommersiell workshop,Alle,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Dramahistorisk mathall er et levende kulinarisk møtepunkt som fletter smaksopplevelser sammen med husets kunstneriske og historiske innhold. Her fungerer matbodene som scener for gastronomisk historiefortelling, der menyen skifter i takt med repertoaret. Publikum kan nyte retter inspirert av aktuelle teaterstykker eller historiske epoker fra museumsutstillingene – enten det er «Ibsens favoritter» eller «Jernalderkost». Mathallen fungerer som en uformell inngangsport til bygget, og senker terskelen for å oppsøke kultur ved å gjøre den spiselig, sosial og tilgjengelig for alle, uavhengig av om man har billett til en forestilling.","Gir en helhetlig totalopplevelse der mat og drikke utdyper historiene man ser på scenen eller i utstillingen, og skaper en sosial ramme rundt besøket.","Åpner for nye kommersielle inntektsstrømmer, forlenger publikums oppholdstid i bygget og markedsfører innholdet på en nyskapende og folkelig måte.","Fleksible serveringsarealer, et tett samarbeid mellom kjøkkensjefer, kuratorer og kunstnerisk ledelse for menyutvikling, samt atmosfærisk interiør.",Start med å tilby én temabasert rett eller drikke i dagens kafé knyttet til en stor oppsetning for å teste publikums betalingsvilje og interesse.,dramahistoriskmathall.png,dramahistoriskmathall.pdf
Kosekrok,Ungdomsworkshop,Ungdom,Arrangement,Nåtid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"Kosekrok er et innbydende og uformelt oppholdsområde i bygget, utformet spesielt med tanke på ungdom, men attraktivt for alle som ønsker et rolig og hyggelig sted å være. Sonen kan ha sofaer, puter, myke tepper, varme lamper, lesestoff, spill og lavterskelaktiviteter. Målet er å skape et miljø der man kan henge uten kjøpspress, møte venner, lese, lade telefonen eller ta en pause før eller etter en aktivitet. En god kosekrok gir trygghet, tilhørighet og gjør bygget til et sted man faktisk blir værende – ikke bare passerer gjennom.","Gir et trygt, varmt og uformelt sted å være, alene eller med venner.","Skaper lengre oppholdstid, øker trivsel og gjør bygget mer attraktivt for ungdom.","Møbler, belysning, enkel drift og tydelig plassering i publikumsarealene.",Sett opp én pilotkrok med møblering og evaluer bruken over noen uker.,kosekrok.png,kosekrok.pdf
O’ Store And,Ungdomsworkshop / Workshop med barn,Barn og ungdom,Arrangement,Nytid,"Sommer, Høst, Vinter, Vår","Ukedager, Helg",Dag,"«O’ Store And» er en storskala, interaktiv installasjon plassert sentralt i publikumsarealene. Figuren fungerer som et uhøytidelig blikkfang som inviterer til interaksjon. Ved hjelp av sensorer reagerer anden på forbipasserende med lyd, bevegelse eller verbale kommentarer – dette kan variere fra humoristiske bemerkninger til kjente teatersitater eller historiske fakta. Installasjonen bryter med forventningen om et stille museum, og signaliserer at huset rommer både læring og lek. Den fungerer som et tydelig møtepunkt og en samtalestarter som kobler institusjonen til byens lokale identitet på en uhøytidelig måte.",Skaper en overraskende og morsom start på besøket som engasjerer på tvers av alder.,Gir huset en tydelig profil med selvironi og stor delingsverdi i sosiale medier.,"En robust fysisk konstruksjon som tåler berøring, samt driftssikker teknologi for interaksjon.",Definer andens personlighet og stemme gjennom en workshop med målgruppen.,ostoreand.png,ostoreand.pdf
